ID,category,page,word,variant,cohort,gender,location,location_code,uid,audio
1,9,192,heuen,eu,alt,M,Grindelwald BE,BE10,ZQTC,192_heuen_eu_alt_M_Grindelwald_BE10_ZQTC.wav
2,9,158,Küche,ù,jung,M,Mels SG,SG06,ASHR,158_Küche_ù_jung_M_Mels_SG06_ASHR.wav
3,9,174,Maus,uu-palatalasiert,alt,M,Lauterbrunnen BE,BE16,HZVF,174_Maus_uu-palatalasiert_alt_M_Lauterbrunnen_BE16_HZVF.wav
4,9,196,Bruder,ie,alt,W,Stans + Oberdorf NW,NW01,ESTD,196_Bruder_ie_alt_W_Stans + Oberdorf_NW01_ESTD.wav
5,20,338,Grussformeln (morgens),Güet(e) Tag,alt,W,Visp VS,VS10,XGAA,338_Grussformeln (morgens)_Güet(e) Tag_alt_W_Visp_VS10_XGAA.wav
6,10,238,Zins,ei,jung,M,Willisau LU,LU06,TIXC,238_Zins_ei_jung_M_Willisau_LU06_TIXC.wav
7,21,354,Dankeserwiderung,'(Ist) gern geschehen',alt,W,Sumiswald BE,BE22,BBCP,354_Dankeserwiderung_'(Ist) gern geschehen'_alt_W_Sumiswald_BE22_BBCP.wav
8,0,362,Vergleichstext,Lesesprache,alt,M,Horgen ZH,ZH03,HWDZ,362_Vergleichstext_Lesesprache_alt_M_Horgen_ZH03_HWDZ.wav
9,4,80,Kochschürze,Schürze,jung,W,Zürich ZH,ZH07,GDJE,080_Kochschürze_Schürze_jung_W_Zürich_ZH07_GDJE.wav
10,0,362,Vergleichstext,Lesesprache,alt,W,Sursee LU,LU04,GOQI,362_Vergleichstext_Lesesprache_alt_W_Sursee_LU04_GOQI.wav
11,7,122,Puppe,Bääbi±,alt,W,Brugg AG,AG03,FLKN,122_Puppe_Bääbi±_alt_W_Brugg_AG03_FLKN.wav
12,10,220,Himmel (Geminate),mm,jung,M,Visp VS,VS10,NMZI,220_Himmel (Geminate)_mm_jung_M_Visp_VS10_NMZI.wav
13,3,50,Pferd,Pfärd,jung,M,Maur ZH,ZH04,PYRT,050_Pferd_Pfärd_jung_M_Maur_ZH04_PYRT.wav
14,9,190,Frauen,ai,alt,M,Stans + Oberdorf NW,NW01,GWOX,190_Frauen_ai_alt_M_Stans + Oberdorf_NW01_GWOX.wav
15,9,180,bauen,ui,alt,W,Stans + Oberdorf NW,NW01,ESTD,180_bauen_ui_alt_W_Stans + Oberdorf_NW01_ESTD.wav
16,5,84,Heidelbeere,Hǜǜti,alt,W,Düdingen FR,FR01,FJHI,084_Heidelbeere_Hǜǜti_alt_W_Düdingen_FR01_FJHI.wav
17,14,280,Postauto Plural,Poschis,jung,M,Münchenbuchsee BE,BE18,VATG,280_Postauto Plural_Poschis_jung_M_Münchenbuchsee_BE18_VATG.wav
18,7,138,Taschentuch,Naselümpli,jung,W,Konolfingen BE,BE13,YFQM,138_Taschentuch_Naselümpli_jung_W_Konolfingen_BE13_YFQM.wav
19,17,320,Tunnel,das,alt,W,Winterthur ZH,ZH06,UMFL,320_Tunnel_das_alt_W_Winterthur_ZH06_UMFL.wav
20,5,90,Kartoffel,Häärperu,alt,W,Bosco Gurin TI,TI01,GJCI,090_Kartoffel_Häärperu_alt_W_Bosco Gurin_TI01_GJCI.wav
21,17,310,Migros,der,alt,W,Oberriet SG,SG07,BTKD,310_Migros_der_alt_W_Oberriet_SG07_BTKD.wav
22,0,362,Vergleichstext,Lesesprache,alt,W,Blumenstein BE,BE05,HUYI,362_Vergleichstext_Lesesprache_alt_W_Blumenstein_BE05_HUYI.wav
23,6,114,Schluckauf,Hösch(er),jung,W,Jaun FR,FR04,WIAS,114_Schluckauf_Hösch(er)_jung_W_Jaun_FR04_WIAS.wav
24,2,34,jemand,eswEls,alt,W,Blatten VS,VS01,IDFP,034_jemand_eswEls_alt_W_Blatten_VS01_IDFP.wav
25,0,362,Vergleichstext,Lesesprache,alt,W,Rorschach + Rorschacherberg SG,SG08,JTEM,362_Vergleichstext_Lesesprache_alt_W_Rorschach + Rorschacherberg_SG08_JTEM.wav
26,6,120,Baby,Baby,jung,W,Bülach ZH,ZH02,TPTK,120_Baby_Baby_jung_W_Bülach_ZH02_TPTK.wav
27,9,194,vier,ìe,alt,M,Hospental UR,UR02,HPYW,194_vier_ìe_alt_M_Hospental_UR02_HPYW.wav
28,5,94,Käsekruste,Grosmueter Schwigermueter Stifmueter,jung,M,Brugg AG,AG03,GHGD,094_Käsekruste_Grosmueter Schwigermueter Stifmueter_jung_M_Brugg_AG03_GHGD.wav
29,13,262,haben (Plural),hei(n) heit hent,jung,W,Simplon-Dorf VS,VS07,CLBF,262_haben (Plural)_hei(n) heit hent_jung_W_Simplon-Dorf_VS07_CLBF.wav
30,7,134,flüstern,liis(e)le,jung,W,Vals GR,GR09,KVYN,134_flüstern_liis(e)le_jung_W_Vals_GR09_KVYN.wav
31,16,298,ich,iich bi(n) iich pi(n),jung,W,Engelberg OW,OW01,BJUC,298_ich_iich bi(n) iich pi(n)_jung_W_Engelberg_OW01_BJUC.wav
32,4,62,begiessen,giesse,alt,M,Solothurn SO,SO04,AWLY,062_begiessen_giesse_alt_M_Solothurn_SO04_AWLY.wav
33,18,328,gehen lassen,gaa laa±,alt,W,Amriswil TG,TG01,QKPX,328_gehen lassen_gaa laa±_alt_W_Amriswil_TG01_QKPX.wav
34,4,72,schaukeln,gglangge,jung,M,St. Niklaus VS,VS08,IMMC,072_schaukeln_gglangge_jung_M_St. Niklaus_VS08_IMMC.wav
35,9,206,Brille,Brille,alt,M,Vättis SG,SG11,AYBA,206_Brille_Brille_alt_M_Vättis_SG11_AYBA.wav
36,13,258,du kommst,-sch,alt,M,Winterthur ZH,ZH06,RATN,258_du kommst_-sch_alt_M_Winterthur_ZH06_RATN.wav
37,2,38,in-zu,im Muotitaal,jung,W,Muotathal SZ,SZ03,VVAO,038_in-zu_im Muotitaal_jung_W_Muotathal_SZ03_VVAO.wav
38,4,72,schaukeln,schauggle,alt,W,Churwalden GR,GR02,IKIA,072_schaukeln_schauggle_alt_W_Churwalden_GR02_IKIA.wav
39,7,136,plaudern,hängertu,jung,W,Saas-Grund VS,VS05,WGFT,136_plaudern_hängertu_jung_W_Saas-Grund_VS05_WGFT.wav
40,4,66,Pfütze,Glunte,alt,M,Frutigen BE,BE09,AQZL,066_Pfütze_Glunte_alt_M_Frutigen_BE09_AQZL.wav
41,9,162,Abend (Vokal),aa,alt,W,Blumenstein BE,BE05,TFBR,162_Abend (Vokal)_aa_alt_W_Blumenstein_BE05_TFBR.wav
42,5,94,Käsekruste,Aaghockets,alt,W,Lungern OW,OW02,DQYW,094_Käsekruste_Aaghockets_alt_W_Lungern_OW02_DQYW.wav
43,5,92,Rösti,Rööschti±,alt,W,Schaffhausen SH,SH01,SPCF,092_Rösti_Rööschti±_alt_W_Schaffhausen_SH01_SPCF.wav
44,5,96,Brotanschnitt,Mürggu Mürggel,jung,W,Konolfingen BE,BE13,WCPR,096_Brotanschnitt_Mürggu Mürggel_jung_W_Konolfingen_BE13_WCPR.wav
45,5,104,Schoggistängeli,(Schoggi)prügeli±,jung,W,Flawil SG,SG04,LDNK,104_Schoggistängeli_(Schoggi)prügeli±_jung_W_Flawil_SG04_LDNK.wav
46,2,42,hinauf,uehi,alt,M,Lauterbrunnen BE,BE16,HZVF,042_hinauf_uehi_alt_M_Lauterbrunnen_BE16_HZVF.wav
47,3,46,Küken,Bideli,alt,M,Langnau BE,BE15,NFNF,046_Küken_Bideli_alt_M_Langnau_BE15_NFNF.wav
48,4,70,Zaun,Zuin,alt,W,Blatten VS,VS01,YELS,070_Zaun_Zuin_alt_W_Blatten_VS01_YELS.wav
49,15,296,Der Geissbock ist wild,wildi,alt,W,Zermatt VS,VS11,IJMG,296_Der Geissbock ist wild_wildi_alt_W_Zermatt_VS11_IJMG.wav
50,4,60,Löwenzahn,Schwiiblueme±,alt,W,Linthal-Auen GL,GL01,PRTT,060_Löwenzahn_Schwiiblueme±_alt_W_Linthal-Auen_GL01_PRTT.wav
