ID,category,page,word,variant,cohort,gender,location,location_code,uid,audio,Maincategory,Subcategory,Pagetitle,Pagenumber
1,9,192,heuen,eu,alt,M,Grindelwald BE,BE10,ZQTC,192_heuen_eu_alt_M_Grindelwald_BE10_ZQTC,Lautung,Vokale,heuen,192
2,9,158,Küche,ù,jung,M,Mels SG,SG06,ASHR,158_Küche_ù_jung_M_Mels_SG06_ASHR,Lautung,Vokale,Küche,158
3,9,174,Maus,uu-palatalasiert,alt,M,Lauterbrunnen BE,BE16,HZVF,174_Maus_uu-palatalasiert_alt_M_Lauterbrunnen_BE16_HZVF,Lautung,Vokale,Maus,174
4,9,196,Bruder,ie,alt,W,Stans + Oberdorf NW,NW01,ESTD,196_Bruder_ie_alt_W_Stans___Oberdorf_NW01_ESTD,Lautung,Vokale,Bruder,196
5,20,338,Grussformeln (morgens),Güet(e) Tag,alt,W,Visp VS,VS10,XGAA,338_Grussformeln_(morgens)_Güet(e)_Tag_alt_W_Visp_VS10_XGAA,Sprache im Alltag,Grussformeln,Grussformeln (morgens),338
6,10,238,Zins,ei,jung,M,Willisau LU,LU06,TIXC,238_Zins_ei_jung_M_Willisau_LU06_TIXC,Lautung,Konsonanten,Zins,238
7,23,362,Vergleichstext,Lesesprache,alt,M,Horgen ZH,ZH03,HWDZ,362_Vergleichstext_Lesesprache_alt_M_Horgen_ZH03_HWDZ,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
8,4,80,Kochschürze,Schürze,jung,W,Zürich ZH,ZH07,GDJE,080_Kochschürze_Schürze_jung_W_Zürich_ZH07_GDJE,Wortschatz,Haus und Garten,Kochschürze,80
9,23,362,Vergleichstext,Lesesprache,alt,W,Sursee LU,LU04,GOQI,362_Vergleichstext_Lesesprache_alt_W_Sursee_LU04_GOQI,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
10,7,122,Puppe,Bääbi±,alt,W,Brugg AG,AG03,FLKN,122_Puppe_Bääbi-_alt_W_Brugg_AG03_FLKN,Wortschatz,Gesellschaft,Puppe,122
11,10,220,Himmel (Geminate),mm,jung,M,Visp VS,VS10,NMZI,220_Himmel_(Geminate)_mm_jung_M_Visp_VS10_NMZI,Lautung,Konsonanten,Himmel (Geminate),220
12,3,50,Pferd,Pfärd,jung,M,Maur ZH,ZH04,PYRT,050_Pferd_Pfärd_jung_M_Maur_ZH04_PYRT,Wortschatz,Tier,Pferd,50
13,9,190,Frauen,ai,alt,M,Stans + Oberdorf NW,NW01,GWOX,190_Frauen_ai_alt_M_Stans___Oberdorf_NW01_GWOX,Lautung,Vokale,Frauen,190
14,9,180,bauen,ui,alt,W,Stans + Oberdorf NW,NW01,ESTD,180_bauen_ui_alt_W_Stans___Oberdorf_NW01_ESTD,Lautung,Vokale,bauen,180
15,5,84,Heidelbeere,Hǜǜti,alt,W,Düdingen FR,FR01,FJHI,084_Heidelbeere_Hǜǜti_alt_W_Düdingen_FR01_FJHI,Wortschatz,Essen und Trinken,Heidelbeere,84
16,14,280,Postauto Plural,Poschis,jung,M,Münchenbuchsee BE,BE18,VATG,280_Postauto_Plural_Poschis_jung_M_Münchenbuchsee_BE18_VATG,Grammatik,Substantiv,Postauto Plural,280
17,7,138,Taschentuch,Naselümpli,jung,W,Konolfingen BE,BE13,YFQM,138_Taschentuch_Naselümpli_jung_W_Konolfingen_BE13_YFQM,Wortschatz,Gesellschaft,Taschentuch,138
18,17,320,Tunnel,das,alt,W,Winterthur ZH,ZH06,UMFL,320_Tunnel_das_alt_W_Winterthur_ZH06_UMFL,Grammatik,Genus,Tunnel,320
19,5,90,Kartoffel,Häärperu,alt,W,Bosco Gurin TI,TI01,GJCI,090_Kartoffel_Häärperu_alt_W_Bosco_Gurin_TI01_GJCI,Wortschatz,Essen und Trinken,Kartoffel,90
20,17,310,Migros,der,alt,W,Oberriet SG,SG07,BTKD,310_Migros_der_alt_W_Oberriet_SG07_BTKD,Grammatik,Genus,Migros,310
21,23,362,Vergleichstext,Lesesprache,alt,W,Blumenstein BE,BE05,HUYI,362_Vergleichstext_Lesesprache_alt_W_Blumenstein_BE05_HUYI,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
22,6,114,Schluckauf,Hösch(er),jung,W,Jaun FR,FR04,WIAS,114_Schluckauf_Hösch(er)_jung_W_Jaun_FR04_WIAS,Wortschatz,Mensch,Schluckauf,114
23,2,34,jemand,eswEls,alt,W,Blatten VS,VS01,IDFP,034_jemand_eswEls_alt_W_Blatten_VS01_IDFP,Wortschatz,Häufige Wörter,jemand,34
24,23,362,Vergleichstext,Lesesprache,alt,W,Rorschach + Rorschacherberg SG,SG08,JTEM,362_Vergleichstext_Lesesprache_alt_W_Rorschach___Rorschacherberg_SG08_JTEM,Gesamtbild der Dialekte,Vergleichstext,Vergleichstext,362
25,6,120,Baby,Baby,jung,W,Bülach ZH,ZH02,TPTK,120_Baby_Baby_jung_W_Bülach_ZH02_TPTK,Wortschatz,Mensch,Baby,120
26,9,194,vier,ìe,alt,M,Hospental UR,UR02,HPYW,194_vier_ìe_alt_M_Hospental_UR02_HPYW,Lautung,Vokale,vier,194
27,5,94,Käsekruste,Grosmueter Schwigermueter Stifmueter,jung,M,Brugg AG,AG03,GHGD,094_Käsekruste_Grosmueter_Schwigermueter_Stifmueter_jung_M_Brugg_AG03_GHGD,Wortschatz,Essen und Trinken,Käsekruste,94
28,13,262,haben (Plural),hei(n) heit hent,jung,W,Simplon-Dorf VS,VS07,CLBF,262_haben_(Plural)_hei(n)_heit_hent_jung_W_Simplon-Dorf_VS07_CLBF,Grammatik,Verb,haben (Plural),262
29,7,134,flüstern,liis(e)le,jung,W,Vals GR,GR09,KVYN,134_flüstern_liis(e)le_jung_W_Vals_GR09_KVYN,Wortschatz,Gesellschaft,flüstern,134
30,16,298,ich,iich bi(n) iich pi(n),jung,W,Engelberg OW,OW01,BJUC,298_ich_iich_bi(n)_iich_pi(n)_jung_W_Engelberg_OW01_BJUC,Grammatik,Pronomen,ich,298
31,4,62,begiessen,giesse,alt,M,Solothurn SO,SO04,AWLY,062_begiessen_giesse_alt_M_Solothurn_SO04_AWLY,Wortschatz,Haus und Garten,begiessen,62
32,18,328,gehen lassen,gaa laa±,alt,W,Amriswil TG,TG01,QKPX,328_gehen_lassen_gaa_laa-_alt_W_Amriswil_TG01_QKPX,Grammatik,Satzbau,gehen lassen,328
33,4,72,schaukeln,gglangge,jung,M,St. Niklaus VS,VS08,IMMC,072_schaukeln_gglangge_jung_M_St._Niklaus_VS08_IMMC,Wortschatz,Haus und Garten,schaukeln,72
34,9,206,Brille,Brille,alt,M,Vättis SG,SG11,AYBA,206_Brille_Brille_alt_M_Vättis_SG11_AYBA,Lautung,Vokale,Brille,206
35,13,258,du kommst,#NAME?,alt,M,Winterthur ZH,ZH06,RATN,258_du_kommst_-sch_alt_M_Winterthur_ZH06_RATN,Grammatik,Verb,du kommst,258
36,2,38,in-zu,im Muotitaal,jung,W,Muotathal SZ,SZ03,VVAO,038_in-zu_im_Muotitaal_jung_W_Muotathal_SZ03_VVAO,Wortschatz,Häufige Wörter,in-zu,38
37,4,72,schaukeln,schauggle,alt,W,Churwalden GR,GR02,IKIA,072_schaukeln_schauggle_alt_W_Churwalden_GR02_IKIA,Wortschatz,Haus und Garten,schaukeln,72
38,7,136,plaudern,hängertu,jung,W,Saas-Grund VS,VS05,WGFT,136_plaudern_hängertu_jung_W_Saas-Grund_VS05_WGFT,Wortschatz,Gesellschaft,plaudern,136
39,4,66,Pfütze,Glunte,alt,M,Frutigen BE,BE09,AQZL,066_Pfütze_Glunte_alt_M_Frutigen_BE09_AQZL,Wortschatz,Haus und Garten,Pfütze,66
40,9,162,Abend (Vokal),aa,alt,W,Blumenstein BE,BE05,TFBR,162_Abend_(Vokal)_aa_alt_W_Blumenstein_BE05_TFBR,Lautung,Vokale,Abend (Vokal),162
41,5,94,Käsekruste,Aaghockets,alt,W,Lungern OW,OW02,DQYW,094_Käsekruste_Aaghockets_alt_W_Lungern_OW02_DQYW,Wortschatz,Essen und Trinken,Käsekruste,94
42,5,92,Rösti,Rööschti±,alt,W,Schaffhausen SH,SH01,SPCF,092_Rösti_Rööschti-_alt_W_Schaffhausen_SH01_SPCF,Wortschatz,Essen und Trinken,Rösti,92
43,5,96,Brotanschnitt,Mürggu Mürggel,jung,W,Konolfingen BE,BE13,WCPR,096_Brotanschnitt_Mürggu_Mürggel_jung_W_Konolfingen_BE13_WCPR,Wortschatz,Essen und Trinken,Brotanschnitt,96
44,5,104,Schoggistängeli,(Schoggi)prügeli±,jung,W,Flawil SG,SG04,LDNK,104_Schoggistängeli_(Schoggi)prügeli-_jung_W_Flawil_SG04_LDNK,Wortschatz,Essen und Trinken,Schoggistängeli,104
